Temperature,Rainfall,Humidity,Soil_Moisture,Wind_Speed,Drought_Severity
29.5,37.0,38.3,55.5,16.4,No Drought
41.0,108.4,37.3,64.8,21.1,No Drought
36.6,174.6,83.4,23.8,20.2,No Drought
34.0,146.4,37.5,51.9,8.1,No Drought
25.1,161.3,39.0,47.9,8.0,No Drought
25.1,131.8,73.2,67.5,10.4,No Drought
23.2,138.5,51.5,73.0,12.2,No Drought
39.3,169.8,74.4,5.9,13.2,No Drought
34.0,49.9,24.6,55.6,18.6,No Drought
36.2,97.9,54.1,8.9,6.1,Mild
22.4,44.2,22.4,46.2,5.7,Mild
41.4,197.5,24.4,26.6,12.8,No Drought
38.6,188.8,83.5,28.0,18.9,No Drought
26.2,7.9,29.7,31.5,8.9,Mild
25.6,141.1,57.3,51.6,17.8,No Drought
25.7,185.0,48.8,30.1,10.2,No Drought
28.1,36.1,44.3,60.0,22.7,No Drought
32.5,113.6,83.0,35.3,22.9,No Drought
30.6,183.1,21.5,10.1,10.9,No Drought
27.8,6.8,66.5,63.8,9.6,No Drought
34.2,139.5,87.4,26.4,13.2,No Drought
24.8,59.5,59.2,37.5,9.8,Mild
27.8,184.9,85.6,56.4,18.4,No Drought
29.3,194.2,23.7,29.9,21.5,No Drought
31.1,188.9,49.3,9.2,18.5,No Drought
37.7,94.8,38.2,33.0,21.5,Mild
26.0,172.4,71.2,75.8,12.9,No Drought
32.3,168.9,88.7,53.1,8.1,No Drought
33.8,63.8,38.0,55.4,19.8,No Drought
22.9,165.8,65.8,52.4,12.2,No Drought
34.2,7.4,33.9,19.9,18.4,Severe
25.4,119.3,59.6,36.4,10.4,No Drought
23.3,46.0,52.5,61.3,6.6,No Drought
41.0,24.1,88.0,12.6,24.9,Severe
41.3,15.4,62.6,25.8,8.1,Moderate
38.2,139.3,44.5,25.7,24.8,No Drought
28.1,68.0,28.0,37.4,24.5,Mild
24.0,145.0,30.6,78.5,20.9,No Drought
35.7,13.1,35.8,10.1,18.2,Severe
30.8,63.1,37.6,43.9,16.6,Mild
24.4,107.9,79.5,18.5,22.3,No Drought
31.9,158.1,59.3,77.8,10.8,No Drought
22.7,63.8,56.6,13.5,14.4,Mild
40.2,125.2,28.0,35.3,17.4,No Drought
27.2,177.2,80.2,60.3,13.2,No Drought
35.3,123.2,70.6,57.8,13.5,No Drought
28.2,46.6,24.7,36.7,11.6,Mild
32.4,4.9,69.5,31.0,16.3,Mild
32.9,174.0,58.0,34.8,22.0,No Drought
25.7,4.3,25.7,24.8,9.0,Moderate
41.4,174.9,52.1,20.4,23.7,No Drought
37.5,105.8,53.9,41.2,18.8,No Drought
40.8,187.8,31.6,25.1,21.5,No Drought
39.9,159.8,86.2,26.6,16.1,No Drought
34.0,199.6,79.5,54.3,20.6,No Drought
40.4,70.1,66.8,77.6,5.3,No Drought
23.8,153.4,52.4,50.3,21.4,No Drought
25.9,80.4,48.8,10.8,5.8,Mild
22.9,96.0,65.6,10.7,22.8,Mild
28.5,125.5,58.2,76.4,24.8,No Drought
29.8,174.7,24.4,27.3,10.9,No Drought
27.4,196.8,55.9,11.9,9.2,No Drought
38.6,153.7,76.4,49.9,20.3,No Drought
29.1,83.6,52.1,51.8,10.1,No Drought
27.6,84.3,23.6,53.6,22.3,No Drought
32.9,147.5,75.0,25.1,7.1,No Drought
24.8,47.8,34.1,6.1,7.5,Moderate
38.0,22.1,38.1,77.4,24.6,No Drought
23.5,70.9,31.5,23.8,18.5,Mild
41.7,57.4,43.1,55.7,21.9,No Drought
37.4,59.3,73.0,58.0,11.5,No Drought
26.0,46.7,56.4,50.8,18.5,No Drought
22.1,8.4,34.3,28.5,16.9,Moderate
38.3,3.6,81.4,25.3,17.1,Moderate
36.1,197.5,81.6,49.8,18.7,No Drought
36.6,85.6,80.9,70.0,16.5,No Drought
37.4,76.9,36.7,76.0,13.6,No Drought
23.5,135.9,51.6,12.9,10.5,No Drought
29.2,43.7,88.9,16.6,20.4,Moderate
24.3,190.0,74.0,75.9,9.5,No Drought
39.3,157.3,21.9,60.2,18.8,No Drought
34.5,17.9,24.6,71.2,9.7,No Drought
28.6,83.5,52.5,20.2,17.5,Mild
23.3,175.8,83.6,49.1,19.9,No Drought
28.2,188.9,57.7,57.6,9.4,No Drought
28.5,93.5,54.8,56.0,6.2,No Drought
36.6,122.7,27.4,35.6,7.6,No Drought
34.8,33.4,66.0,6.2,17.1,Moderate
39.7,198.2,77.5,48.7,22.0,No Drought
31.4,46.3,46.6,24.0,5.9,Moderate
24.4,188.5,74.3,38.8,19.7,No Drought
36.3,129.9,87.5,76.8,11.8,No Drought
37.2,121.5,34.3,34.9,14.6,No Drought
33.2,102.5,56.6,68.0,23.6,No Drought
37.4,46.1,40.1,19.1,11.6,Moderate
31.9,35.3,75.5,55.4,14.3,No Drought
32.5,44.1,60.4,78.3,5.3,No Drought
30.6,37.3,64.4,12.6,6.6,Moderate
22.5,155.9,75.9,5.6,10.2,No Drought
24.2,70.0,47.7,37.5,5.6,Mild
22.6,11.6,84.1,11.9,17.6,Severe
34.7,193.8,57.3,61.1,13.5,No Drought
28.3,176.8,31.1,73.6,16.0,No Drought
32.2,185.6,68.7,37.6,8.5,No Drought
40.2,199.0,75.5,24.4,10.9,No Drought
27.0,34.8,42.2,37.6,18.3,Mild
30.2,79.2,80.0,59.3,24.3,No Drought
37.1,151.6,83.4,5.7,6.0,No Drought
26.6,139.2,39.4,49.2,22.8,No Drought
23.5,30.8,88.8,51.0,16.5,No Drought
27.8,163.2,29.8,52.8,16.3,No Drought
25.2,44.9,34.1,23.2,15.0,Moderate
40.6,44.8,32.9,58.6,6.4,No Drought
38.2,107.4,82.6,11.9,6.8,No Drought
34.7,118.6,65.8,19.9,17.0,No Drought
39.4,116.0,30.6,70.8,11.8,No Drought
38.1,18.3,50.8,60.4,23.3,No Drought
25.7,175.5,63.1,6.0,13.1,No Drought
39.9,53.1,25.8,23.6,7.9,Moderate
32.8,25.9,81.8,21.1,19.3,Moderate
38.1,177.7,76.3,25.3,10.9,No Drought
39.9,191.1,55.4,23.6,15.5,No Drought
28.4,172.4,87.7,9.7,19.0,No Drought
24.2,161.9,49.2,39.4,23.0,No Drought
26.6,131.0,88.9,60.0,20.8,No Drought
30.5,110.2,66.8,50.5,18.5,No Drought
38.4,17.4,64.4,55.5,18.6,No Drought
39.2,81.7,31.6,11.1,23.9,Mild
22.1,74.5,81.7,76.4,10.9,No Drought
32.2,52.0,49.9,67.9,5.0,No Drought
30.3,144.7,31.4,65.4,10.4,No Drought
26.4,99.2,20.9,66.7,9.4,No Drought
24.4,16.2,59.2,75.0,18.2,No Drought
28.8,44.0,56.9,45.8,17.7,Mild
40.9,136.7,70.4,20.0,16.9,No Drought
28.5,15.2,82.3,51.3,5.3,No Drought
32.4,170.2,25.6,60.7,19.6,No Drought
36.1,99.0,71.2,60.3,11.5,No Drought
29.3,96.1,33.1,44.1,18.3,Mild
41.4,118.5,80.1,10.1,16.1,No Drought
41.2,164.9,77.3,32.8,11.9,No Drought
27.0,69.6,57.9,74.1,7.7,No Drought
31.9,135.6,69.7,48.8,6.9,No Drought
28.0,113.1,42.0,45.4,21.6,No Drought
27.7,53.4,53.0,25.2,23.4,Moderate
22.7,175.7,77.5,32.6,18.0,No Drought
34.2,159.5,52.1,72.2,7.1,No Drought
32.1,131.7,45.0,55.0,13.0,No Drought
23.0,170.1,54.6,64.1,19.6,No Drought
27.6,173.5,78.0,39.1,20.6,No Drought
40.2,141.7,43.5,52.3,7.4,No Drought
26.8,167.4,32.2,23.6,5.0,No Drought
24.9,139.5,69.8,57.9,19.2,No Drought
